timestamp,packet_counter,right_thigh_q1,right_thigh_q2,right_thigh_q3,right_thigh_q4,right_calf_q1,right_calf_q2,right_calf_q3,right_calf_q4,left_thigh_q1,left_thigh_q2,left_thigh_q3,left_thigh_q4,left_calf_q1,left_calf_q2,left_calf_q3,left_calf_q4,trunk_q1,trunk_q2,trunk_q3,trunk_q4,right_foot_q0,right_foot_q1,right_foot_q2,right_foot_q3,right_pressure0,right_pressure1,right_pressure2,right_pressure3,right_pressure4,right_pressure5,right_pressure6,right_pressure7,right_pressure8,right_pressure9,right_pressure10,right_pressure11,right_pressure12,right_pressure13,right_pressure14,right_pressure15,right_pressure16,right_pressure17,right_pressure18,right_pressure19,right_pressure20,right_pressure21,right_pressure22,right_pressure23,right_pressure24,right_pressure25,right_pressure26,right_pressure27,right_pressure28,right_pressure29,right_pressure30,right_pressure31,right_pressure32,right_pressure33,right_pressure34,right_pressure35,right_pressure36,right_pressure37,right_pressure38,right_pressure39,right_pressure40,right_pressure41,right_pressure42,right_pressure43,right_pressure44,left_foot_q0,left_foot_q1,left_foot_q2,left_foot_q3,left_pressure0,left_pressure1,left_pressure2,left_pressure3,left_pressure4,left_pressure5,left_pressure6,left_pressure7,left_pressure8,left_pressure9,left_pressure10,left_pressure11,left_pressure12,left_pressure13,left_pressure14,left_pressure15,left_pressure16,left_pressure17,left_pressure18,left_pressure19,left_pressure20,left_pressure21,left_pressure22,left_pressure23,left_pressure24,left_pressure25,left_pressure26,left_pressure27,left_pressure28,left_pressure29,left_pressure30,left_pressure31,left_pressure32,left_pressure33,left_pressure34,left_pressure35,left_pressure36,left_pressure37,left_pressure38,left_pressure39,left_pressure40,left_pressure41,left_pressure42,left_pressure43,left_pressure44,right_pressure_sum,left_pressure_sum
46:54.7,502,-0.54,-0.608,0.399,0.423,-0.21,-0.523,0.536,0.628,-0.211,0.247,-0.716,-0.617,-0.266,-0.231,-0.678,-0.645,-0.42,-0.09,0.565,0.705,0.661,-0.037,-0.748,0.052,0,0.001,0.001,0.001,0.311,0.397,0.206,0.028,0.001,0.117,0.118,0.001,0.001,0.111,0.269,0.354,0.116,0.001,0.192,0.1,0.001,0.001,0.007,0.485,0.712,0.247,0.311,0.001,0.001,0.001,0.001,0.001,0.569,0.731,0.496,0.546,0.001,0.739,0.786,1.176,1.034,0.525,0.252,0.343,0.156,0.679,-0.378,-0.464,-0.425,0.001,0.013,0.001,0.001,0.001,0.001,0.048,0.001,0.001,0.203,0.171,0,0,0,0.002,0.001,0.001,0,0.145,0.012,0.001,0.001,0.001,0,0.001,0.001,0,0.009,0.001,0,0,0,0.001,0,0,0.111,0,0.018,0.001,0,0,0.001,0,0.001,0,11.449,0.751
46:54.7,503,-0.54,-0.607,0.399,0.426,-0.208,-0.525,0.534,0.63,-0.209,0.244,-0.718,-0.618,-0.267,-0.236,-0.678,-0.643,-0.418,-0.09,0.565,0.705,0.665,-0.069,-0.741,0.058,0.001,0.001,0.001,0.001,0.286,0.386,0.201,0.028,0.001,0.112,0.105,0.001,0.001,0.09,0.256,0.35,0.12,0,0.193,0.093,0.001,0.001,0.001,0.466,0.709,0.249,0.31,0.001,0.001,0.001,0.001,0.001,0.564,0.733,0.493,0.536,0.001,0.753,0.794,1.187,1.043,0.537,0.255,0.343,0.173,0.69,-0.366,-0.469,-0.412,0.618,0.501,0.001,0,0.001,0,0.093,0,0.513,0.568,0.374,0.001,0.001,0.001,0.065,0,0.001,0.171,0.684,0.094,0.001,0,0,0.001,0,0,0.001,0.012,0,0.001,0,0.001,0.001,0,0.001,0.015,0,0.045,0,0.001,0.001,0,0.001,0,0.001,11.381,3.77
46:54.7,504,-0.539,-0.606,0.398,0.428,-0.204,-0.526,0.531,0.631,-0.206,0.241,-0.719,-0.618,-0.266,-0.241,-0.678,-0.641,-0.417,-0.089,0.566,0.705,0.665,-0.071,-0.741,0.063,0.001,0.001,0.001,0.001,0.177,0.183,0.1,0.005,0.001,0.083,0.09,0.001,0.001,0.004,0.081,0.282,0.143,0.001,0.139,0.059,0.001,0.001,0.001,0.232,0.642,0.219,0.28,0.001,0.001,0.001,0.001,0.001,0.459,0.744,0.519,0.513,0.001,0.916,0.873,1.234,1.133,0.807,0.336,0.37,0.245,0.708,-0.346,-0.475,-0.392,0.698,0.587,0.001,0.001,0,0.001,0.112,0,0.601,0.597,0.435,0,0.001,0.001,0.073,0.001,0,0.331,0.717,0.122,0.001,0,0.001,0,0.001,0.001,0,0.006,0.001,0.001,0.001,0.001,0.009,0,0.001,0.005,0,0.045,0,0,0,0,0,0.001,0,10.885,4.354
46:54.7,505,-0.539,-0.605,0.397,0.431,-0.201,-0.528,0.529,0.633,-0.204,0.238,-0.72,-0.619,-0.264,-0.245,-0.679,-0.64,-0.416,-0.089,0.567,0.706,0.665,-0.073,-0.741,0.067,0.001,0.001,0.001,0.001,0.162,0.162,0.096,0.002,0.001,0.068,0.084,0.001,0.001,0.001,0.07,0.27,0.151,0.001,0.126,0.045,0.001,0.001,0.001,0.193,0.631,0.211,0.276,0.001,0.001,0.001,0.001,0.001,0.416,0.751,0.518,0.516,0.001,0.917,0.89,1.236,1.138,0.875,0.348,0.371,0.245,0.721,-0.333,-0.478,-0.376,0.713,0.654,0.016,0,0,0,0.125,0.001,0.641,0.647,0.474,0.001,0.001,0.001,0.095,0,0.001,0.462,0.736,0.184,0,0.001,0.001,0.001,0,0,0.001,0.037,0,0.001,0.001,0,0.015,0,0,0.01,0.001,0.044,0.001,0,0,0.001,0.001,0.001,0,10.786,4.869
46:54.7,506,-0.539,-0.604,0.396,0.433,-0.197,-0.529,0.527,0.636,-0.201,0.237,-0.721,-0.619,-0.262,-0.247,-0.68,-0.639,-0.415,-0.088,0.568,0.705,0.664,-0.079,-0.74,0.07,0.001,0.001,0.001,0.001,0.14,0.147,0.087,0.002,0.001,0.053,0.07,0.001,0.001,0.001,0.066,0.252,0.156,0.001,0.114,0.046,0.001,0.001,0.001,0.165,0.617,0.209,0.27,0.001,0.001,0.001,0.001,0.001,0.396,0.751,0.526,0.523,0.001,0.929,0.897,1.231,1.147,0.91,0.363,0.374,0.243,0.736,-0.32,-0.48,-0.354,0.716,0.68,0.029,0.001,0.001,0.001,0.142,0,0.646,0.669,0.509,0.001,0.001,0,0.114,0,0.001,0.549,0.772,0.265,0.001,0,0,0,0,0.001,0,0.062,0.001,0,0.001,0.001,0.017,0,0,0.015,0.001,0.032,0,0.001,0,0.001,0.011,0,0.001,10.702,5.243
46:54.7,507,-0.539,-0.603,0.396,0.435,-0.195,-0.529,0.525,0.638,-0.201,0.237,-0.722,-0.618,-0.26,-0.248,-0.68,-0.639,-0.414,-0.088,0.569,0.705,0.664,-0.086,-0.739,0.07,0.001,0.001,0.001,0.001,0.132,0.128,0.07,0.002,0.001,0.039,0.067,0.001,0.001,0.001,0.067,0.234,0.16,0.001,0.089,0.046,0.001,0.001,0.001,0.151,0.604,0.208,0.264,0.001,0.001,0.001,0.001,0.001,0.375,0.757,0.532,0.524,0.001,0.93,0.911,1.226,1.153,0.935,0.371,0.376,0.238,0.741,-0.318,-0.481,-0.344,0.72,0.689,0.065,0.001,0.001,0,0.171,0.001,0.68,0.705,0.553,0,0,0,0.131,0.001,0.001,0.584,0.791,0.36,0.001,0.001,0.001,0.001,0,0.001,0,0.104,0.001,0.001,0.001,0.001,0.016,0.001,0,0.018,0.001,0.032,0,0,0.001,0.001,0.016,0,0.001,10.607,5.654
46:54.7,508,-0.539,-0.602,0.395,0.437,-0.193,-0.529,0.523,0.64,-0.201,0.238,-0.722,-0.617,-0.259,-0.249,-0.678,-0.641,-0.414,-0.088,0.571,0.703,0.664,-0.086,-0.739,0.07,0.001,0.001,0.001,0.001,0.132,0.128,0.07,0.002,0.001,0.039,0.067,0.001,0.001,0.001,0.067,0.234,0.16,0.001,0.089,0.046,0.001,0.001,0.001,0.151,0.604,0.208,0.264,0.001,0.001,0.001,0.001,0.001,0.375,0.757,0.532,0.524,0.001,0.93,0.911,1.226,1.153,0.935,0.371,0.376,0.238,0.743,-0.321,-0.48,-0.337,0.73,0.689,0.114,0,0.018,0.004,0.187,0,0.689,0.736,0.608,0,0.001,0,0.132,0.001,0.001,0.584,0.803,0.447,0.001,0.001,0.001,0.001,0,0,0.001,0.127,0.001,0.001,0.001,0,0.016,0,0.001,0.001,0.001,0.033,0,0,0,0.001,0.017,0.001,0,10.607,5.95
46:54.7,509,-0.539,-0.602,0.393,0.439,-0.191,-0.528,0.52,0.643,-0.204,0.239,-0.722,-0.616,-0.26,-0.251,-0.675,-0.643,-0.415,-0.088,0.572,0.702,0.664,-0.086,-0.739,0.07,0.001,0.001,0.001,0.001,0.132,0.128,0.07,0.002,0.001,0.039,0.067,0.001,0.001,0.001,0.067,0.234,0.16,0.001,0.089,0.046,0.001,0.001,0.001,0.151,0.604,0.208,0.264,0.001,0.001,0.001,0.001,0.001,0.375,0.757,0.532,0.524,0.001,0.93,0.911,1.226,1.153,0.935,0.371,0.376,0.238,0.743,-0.33,-0.478,-0.333,0.733,0.67,0.149,0,0.045,0.007,0.198,0,0.69,0.755,0.642,0,0.001,0.001,0.134,0,0,0.58,0.818,0.486,0.001,0.001,0.001,0.001,0,0.001,0.001,0.145,0.001,0.001,0.001,0,0.015,0,0,0,0,0.034,0,0,0,0.001,0.021,0.001,0,10.607,6.135
46:54.7,510,-0.539,-0.601,0.392,0.441,-0.19,-0.528,0.518,0.646,-0.208,0.24,-0.722,-0.614,-0.261,-0.255,-0.672,-0.645,-0.415,-0.088,0.573,0.7,0.664,-0.086,-0.739,0.07,0.001,0.001,0.001,0.001,0.132,0.128,0.07,0.002,0.001,0.039,0.067,0.001,0.001,0.001,0.067,0.234,0.16,0.001,0.089,0.046,0.001,0.001,0.001,0.151,0.604,0.208,0.264,0.001,0.001,0.001,0.001,0.001,0.375,0.757,0.532,0.524,0.001,0.93,0.911,1.226,1.153,0.935,0.371,0.376,0.238,0.741,-0.336,-0.476,-0.332,0.728,0.653,0.214,0,0.087,0.011,0.212,0.001,0.683,0.758,0.67,0.001,0.001,0,0.134,0.001,0,0.564,0.822,0.541,0.001,0.001,0,0.001,0,0,0.001,0.179,0.001,0.001,0,0,0.017,0,0,0,0.001,0.038,0,0,0.001,0.001,0.021,0,0.001,10.607,6.346
46:54.8,511,-0.54,-0.6,0.391,0.442,-0.189,-0.526,0.515,0.649,-0.212,0.239,-0.722,-0.613,-0.262,-0.261,-0.668,-0.646,-0.416,-0.089,0.574,0.699,0.664,-0.086,-0.739,0.07,0.001,0.001,0.001,0.001,0.132,0.128,0.07,0.002,0.001,0.039,0.067,0.001,0.001,0.001,0.067,0.234,0.16,0.001,0.089,0.046,0.001,0.001,0.001,0.151,0.604,0.208,0.264,0.001,0.001,0.001,0.001,0.001,0.375,0.757,0.532,0.524,0.001,0.93,0.911,1.226,1.153,0.935,0.371,0.376,0.238,0.742,-0.343,-0.474,-0.328,0.739,0.667,0.274,0.001,0.138,0.023,0.211,0,0.659,0.767,0.7,0.001,0.001,0.001,0.161,0.001,0,0.576,0.806,0.598,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.219,0.001,0.001,0.001,0.001,0.015,0.001,0,0,0.001,0.034,0.001,0,0,0.001,0.016,0,0,10.607,6.623
46:54.8,512,-0.541,-0.598,0.39,0.444,-0.187,-0.525,0.513,0.653,-0.213,0.237,-0.723,-0.613,-0.265,-0.267,-0.664,-0.646,-0.418,-0.089,0.575,0.698,0.664,-0.086,-0.739,0.07,0.001,0.001,0.001,0.001,0.132,0.128,0.07,0.002,0.001,0.039,0.067,0.001,0.001,0.001,0.067,0.234,0.16,0.001,0.089,0.046,0.001,0.001,0.001,0.151,0.604,0.208,0.264,0.001,0.001,0.001,0.001,0.001,0.375,0.757,0.532,0.524,0.001,0.93,0.911,1.226,1.153,0.935,0.371,0.376,0.238,0.742,-0.343,-0.474,-0.328,0.739,0.667,0.274,0.001,0.138,0.023,0.211,0,0.659,0.767,0.7,0.001,0.001,0.001,0.161,0.001,0,0.576,0.806,0.598,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.219,0.001,0.001,0.001,0.001,0.015,0.001,0,0,0.001,0.034,0.001,0,0,0.001,0.016,0,0,10.607,6.623
46:54.8,513,-0.543,-0.597,0.388,0.446,-0.186,-0.523,0.51,0.657,-0.209,0.233,-0.725,-0.613,-0.267,-0.273,-0.66,-0.647,-0.419,-0.09,0.575,0.697,0.664,-0.086,-0.739,0.07,0.001,0.001,0.001,0.001,0.132,0.128,0.07,0.002,0.001,0.039,0.067,0.001,0.001,0.001,0.067,0.234,0.16,0.001,0.089,0.046,0.001,0.001,0.001,0.151,0.604,0.208,0.264,0.001,0.001,0.001,0.001,0.001,0.375,0.757,0.532,0.524,0.001,0.93,0.911,1.226,1.153,0.935,0.371,0.376,0.238,0.742,-0.343,-0.474,-0.328,0.739,0.667,0.274,0.001,0.138,0.023,0.211,0,0.659,0.767,0.7,0.001,0.001,0.001,0.161,0.001,0,0.576,0.806,0.598,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.219,0.001,0.001,0.001,0.001,0.015,0.001,0,0,0.001,0.034,0.001,0,0,0.001,0.016,0,0,10.607,6.623
46:54.8,514,-0.544,-0.595,0.387,0.448,-0.185,-0.52,0.508,0.661,-0.198,0.227,-0.729,-0.614,-0.27,-0.28,-0.656,-0.647,-0.419,-0.091,0.575,0.697,0.668,-0.208,-0.713,0.043,0.001,0.001,0.001,0.001,0.123,0.118,0.063,0.002,0.001,0.034,0.054,0.001,0.001,0.001,0.072,0.222,0.165,0.001,0.074,0.044,0.001,0.001,0.001,0.145,0.593,0.206,0.266,0.001,0,0.001,0.001,0.001,0.365,0.759,0.536,0.524,0.001,0.933,0.919,1.226,1.165,0.949,0.379,0.375,0.23,0.742,-0.343,-0.474,-0.328,0.739,0.667,0.274,0.001,0.138,0.023,0.211,0,0.659,0.767,0.7,0.001,0.001,0.001,0.161,0.001,0,0.576,0.806,0.598,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.219,0.001,0.001,0.001,0.001,0.015,0.001,0,0,0.001,0.034,0.001,0,0,0.001,0.016,0,0,10.558,6.623
46:54.8,515,-0.545,-0.593,0.385,0.451,-0.184,-0.517,0.506,0.665,-0.182,0.223,-0.735,-0.614,-0.271,-0.289,-0.652,-0.646,-0.418,-0.093,0.575,0.697,0.669,-0.222,-0.708,0.043,0.001,0.001,0.001,0.082,0.016,0.092,0.061,0.002,0.001,0.001,0.001,0.001,0.001,0.011,0.082,0.161,0.222,0.001,0.001,0.045,0.001,0.001,0.001,0.144,0.497,0.178,0.192,0.001,0.001,0.001,0.001,0.001,0.37,0.761,0.559,0.513,0.038,0.847,1.006,1.177,1.205,1.01,0.32,0.281,0.11,0.742,-0.343,-0.474,-0.328,0.739,0.667,0.274,0.001,0.138,0.023,0.211,0,0.659,0.767,0.7,0.001,0.001,0.001,0.161,0.001,0,0.576,0.806,0.598,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.219,0.001,0.001,0.001,0.001,0.015,0.001,0,0,0.001,0.034,0.001,0,0,0.001,0.016,0,0,10,6.623
46:54.8,516,-0.545,-0.59,0.384,0.454,-0.183,-0.514,0.506,0.668,-0.166,0.22,-0.741,-0.613,-0.271,-0.299,-0.649,-0.645,-0.417,-0.094,0.576,0.697,0.671,-0.236,-0.701,0.048,0.001,0.001,0.001,0.082,0.01,0.107,0.063,0.002,0.001,0.001,0.001,0.001,0.001,0.021,0.085,0.151,0.228,0.001,0.001,0.032,0.001,0.001,0.001,0.151,0.473,0.168,0.178,0.001,0.001,0.001,0.001,0.001,0.387,0.747,0.535,0.48,0.055,0.829,0.968,1.17,1.221,0.98,0.308,0.275,0.095,0.742,-0.343,-0.474,-0.328,0.739,0.667,0.274,0.001,0.138,0.023,0.211,0,0.659,0.767,0.7,0.001,0.001,0.001,0.161,0.001,0,0.576,0.806,0.598,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.219,0.001,0.001,0.001,0.001,0.015,0.001,0,0,0.001,0.034,0.001,0,0,0.001,0.016,0,0,9.819,6.623
46:54.8,517,-0.546,-0.588,0.384,0.457,-0.182,-0.51,0.506,0.671,-0.156,0.218,-0.745,-0.611,-0.267,-0.311,-0.646,-0.644,-0.414,-0.095,0.578,0.696,0.674,-0.245,-0.695,0.056,0.001,0.001,0.001,0.07,0.013,0.128,0.068,0.001,0.001,0.001,0.001,0.001,0.001,0.027,0.092,0.153,0.234,0.001,0.001,0.012,0.001,0.001,0.001,0.147,0.436,0.145,0.175,0.001,0.001,0.001,0.001,0.001,0.377,0.74,0.538,0.452,0.059,0.796,0.937,1.115,1.227,0.971,0.216,0.265,0.093,0.742,-0.343,-0.474,-0.328,0.739,0.667,0.274,0.001,0.138,0.023,0.211,0,0.659,0.767,0.7,0.001,0.001,0.001,0.161,0.001,0,0.576,0.806,0.598,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.219,0.001,0.001,0.001,0.001,0.015,0.001,0,0,0.001,0.034,0.001,0,0,0.001,0.016,0,0,9.505,6.623
46:54.8,518,-0.546,-0.584,0.386,0.46,-0.179,-0.507,0.507,0.673,-0.151,0.216,-0.747,-0.61,-0.26,-0.322,-0.646,-0.642,-0.411,-0.096,0.581,0.696,0.674,-0.245,-0.695,0.056,0.001,0.001,0.001,0.07,0.013,0.128,0.068,0.001,0.001,0.001,0.001,0.001,0.001,0.027,0.092,0.153,0.234,0.001,0.001,0.012,0.001,0.001,0.001,0.147,0.436,0.145,0.175,0.001,0.001,0.001,0.001,0.001,0.377,0.74,0.538,0.452,0.059,0.796,0.937,1.115,1.227,0.971,0.216,0.265,0.093,0.716,-0.422,-0.407,-0.378,0.74,0.669,0.277,0.001,0.143,0.027,0.201,0,0.663,0.768,0.7,0.001,0.001,0.001,0.173,0.001,0,0.578,0.817,0.601,0.001,0.001,0.001,0.001,0.001,0,0.001,0.22,0.004,0.001,0,0,0.015,0.001,0,0,0.001,0.027,0,0,0.001,0.001,0.016,0.001,0,9.505,6.656
46:54.8,519,-0.546,-0.579,0.389,0.464,-0.172,-0.503,0.508,0.678,-0.151,0.212,-0.749,-0.609,-0.251,-0.33,-0.645,-0.641,-0.408,-0.098,0.585,0.694,0.674,-0.245,-0.695,0.056,0.001,0.001,0.001,0.07,0.013,0.128,0.068,0.001,0.001,0.001,0.001,0.001,0.001,0.027,0.092,0.153,0.234,0.001,0.001,0.012,0.001,0.001,0.001,0.147,0.436,0.145,0.175,0.001,0.001,0.001,0.001,0.001,0.377,0.74,0.538,0.452,0.059,0.796,0.937,1.115,1.227,0.971,0.216,0.265,0.093,0.716,-0.422,-0.407,-0.378,0.74,0.669,0.277,0.001,0.143,0.027,0.201,0,0.663,0.768,0.7,0.001,0.001,0.001,0.173,0.001,0,0.578,0.817,0.601,0.001,0.001,0.001,0.001,0.001,0,0.001,0.22,0.004,0.001,0,0,0.015,0.001,0,0,0.001,0.027,0,0,0.001,0.001,0.016,0.001,0,9.505,6.656
46:54.8,520,-0.546,-0.572,0.393,0.468,-0.164,-0.497,0.508,0.684,-0.153,0.208,-0.75,-0.609,-0.242,-0.338,-0.644,-0.643,-0.405,-0.101,0.59,0.691,0.674,-0.245,-0.695,0.056,0.001,0.001,0.001,0.07,0.013,0.128,0.068,0.001,0.001,0.001,0.001,0.001,0.001,0.027,0.092,0.153,0.234,0.001,0.001,0.012,0.001,0.001,0.001,0.147,0.436,0.145,0.175,0.001,0.001,0.001,0.001,0.001,0.377,0.74,0.538,0.452,0.059,0.796,0.937,1.115,1.227,0.971,0.216,0.265,0.093,0.716,-0.422,-0.407,-0.378,0.74,0.669,0.277,0.001,0.143,0.027,0.201,0,0.663,0.768,0.7,0.001,0.001,0.001,0.173,0.001,0,0.578,0.817,0.601,0.001,0.001,0.001,0.001,0.001,0,0.001,0.22,0.004,0.001,0,0,0.015,0.001,0,0,0.001,0.027,0,0,0.001,0.001,0.016,0.001,0,9.505,6.656
46:54.9,521,-0.548,-0.564,0.4,0.472,-0.157,-0.49,0.51,0.689,-0.155,0.202,-0.751,-0.608,-0.233,-0.343,-0.642,-0.645,-0.402,-0.104,0.596,0.687,0.674,-0.245,-0.695,0.056,0.001,0.001,0.001,0.07,0.013,0.128,0.068,0.001,0.001,0.001,0.001,0.001,0.001,0.027,0.092,0.153,0.234,0.001,0.001,0.012,0.001,0.001,0.001,0.147,0.436,0.145,0.175,0.001,0.001,0.001,0.001,0.001,0.377,0.74,0.538,0.452,0.059,0.796,0.937,1.115,1.227,0.971,0.216,0.265,0.093,0.716,-0.422,-0.407,-0.378,0.74,0.669,0.277,0.001,0.143,0.027,0.201,0,0.663,0.768,0.7,0.001,0.001,0.001,0.173,0.001,0,0.578,0.817,0.601,0.001,0.001,0.001,0.001,0.001,0,0.001,0.22,0.004,0.001,0,0,0.015,0.001,0,0,0.001,0.027,0,0,0.001,0.001,0.016,0.001,0,9.505,6.656
46:54.9,522,-0.55,-0.555,0.409,0.472,-0.152,-0.483,0.514,0.692,-0.156,0.196,-0.753,-0.608,-0.226,-0.347,-0.641,-0.647,-0.398,-0.108,0.601,0.684,0.674,-0.245,-0.695,0.056,0.001,0.001,0.001,0.07,0.013,0.128,0.068,0.001,0.001,0.001,0.001,0.001,0.001,0.027,0.092,0.153,0.234,0.001,0.001,0.012,0.001,0.001,0.001,0.147,0.436,0.145,0.175,0.001,0.001,0.001,0.001,0.001,0.377,0.74,0.538,0.452,0.059,0.796,0.937,1.115,1.227,0.971,0.216,0.265,0.093,0.716,-0.422,-0.407,-0.378,0.74,0.669,0.277,0.001,0.143,0.027,0.201,0,0.663,0.768,0.7,0.001,0.001,0.001,0.173,0.001,0,0.578,0.817,0.601,0.001,0.001,0.001,0.001,0.001,0,0.001,0.22,0.004,0.001,0,0,0.015,0.001,0,0,0.001,0.027,0,0,0.001,0.001,0.016,0.001,0,9.505,6.656
46:54.9,523,-0.552,-0.547,0.42,0.467,-0.15,-0.478,0.518,0.693,-0.154,0.188,-0.756,-0.608,-0.221,-0.349,-0.64,-0.648,-0.395,-0.112,0.607,0.68,0.674,-0.245,-0.695,0.056,0.001,0.001,0.001,0.07,0.013,0.128,0.068,0.001,0.001,0.001,0.001,0.001,0.001,0.027,0.092,0.153,0.234,0.001,0.001,0.012,0.001,0.001,0.001,0.147,0.436,0.145,0.175,0.001,0.001,0.001,0.001,0.001,0.377,0.74,0.538,0.452,0.059,0.796,0.937,1.115,1.227,0.971,0.216,0.265,0.093,0.716,-0.422,-0.407,-0.378,0.74,0.669,0.277,0.001,0.143,0.027,0.201,0,0.663,0.768,0.7,0.001,0.001,0.001,0.173,0.001,0,0.578,0.817,0.601,0.001,0.001,0.001,0.001,0.001,0,0.001,0.22,0.004,0.001,0,0,0.015,0.001,0,0,0.001,0.027,0,0,0.001,0.001,0.016,0.001,0,9.505,6.656
46:54.9,524,-0.556,-0.541,0.431,0.46,-0.147,-0.475,0.52,0.694,-0.149,0.18,-0.759,-0.607,-0.22,-0.352,-0.638,-0.648,-0.392,-0.115,0.612,0.677,0.674,-0.245,-0.695,0.056,0.001,0.001,0.001,0.07,0.013,0.128,0.068,0.001,0.001,0.001,0.001,0.001,0.001,0.027,0.092,0.153,0.234,0.001,0.001,0.012,0.001,0.001,0.001,0.147,0.436,0.145,0.175,0.001,0.001,0.001,0.001,0.001,0.377,0.74,0.538,0.452,0.059,0.796,0.937,1.115,1.227,0.971,0.216,0.265,0.093,0.716,-0.422,-0.407,-0.378,0.74,0.669,0.277,0.001,0.143,0.027,0.201,0,0.663,0.768,0.7,0.001,0.001,0.001,0.173,0.001,0,0.578,0.817,0.601,0.001,0.001,0.001,0.001,0.001,0,0.001,0.22,0.004,0.001,0,0,0.015,0.001,0,0,0.001,0.027,0,0,0.001,0.001,0.016,0.001,0,9.505,6.656
46:54.9,525,-0.561,-0.535,0.441,0.452,-0.144,-0.475,0.52,0.695,-0.142,0.171,-0.763,-0.607,-0.222,-0.355,-0.636,-0.648,-0.39,-0.119,0.615,0.675,0.659,-0.328,-0.659,0.153,0.001,0.001,0.001,0.059,0.005,0.127,0.071,0.001,0.001,0.001,0.001,0.001,0.001,0.029,0.103,0.128,0.216,0.001,0.001,0.006,0.001,0.001,0.001,0.133,0.399,0.105,0.176,0.001,0.001,0.001,0.001,0.001,0.338,0.669,0.535,0.432,0.057,0.742,0.875,1.066,1.237,0.99,0.186,0.248,0.087,0.643,-0.503,-0.319,-0.482,0.806,0.657,0.443,0.007,0.415,0.316,0.481,0.007,0.761,0.73,0.734,0.137,0.001,0.054,0.363,0.131,0,0.777,0.841,0.803,0.06,0.001,0.001,0.324,0.579,0,0.001,0.507,0.4,0.078,0,0.001,0.409,0.454,0.001,0.289,0,0.435,0.694,0.001,0.415,0.162,0.137,0,0,9.038,13.413
46:54.9,526,-0.565,-0.529,0.451,0.444,-0.141,-0.477,0.519,0.695,-0.135,0.163,-0.767,-0.606,-0.225,-0.358,-0.634,-0.647,-0.387,-0.122,0.618,0.673,0.658,-0.339,-0.653,0.161,0.001,0.001,0.001,0.032,0.05,0.001,0.013,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.029,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.055,0.107,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.178,0.198,0.001,0.071,0.001,0.382,0.245,0.09,0.242,0.115,0.001,0.001,0.001,0.63,-0.513,-0.306,-0.496,0.783,0.632,0.415,0.009,0.391,0.264,0.289,0.021,0.779,0.695,0.69,0.219,0.02,0.099,0.269,0.17,0.002,0.904,0.849,0.864,0.261,0.001,0.002,0.3,0.503,0.051,0.016,0.586,0.558,0.349,0.001,0.001,0.442,0.587,0.103,0.719,0.001,0.705,0.869,1.116,1.253,0.355,0.354,0.001,0.103,1.838,17.601
46:54.9,527,-0.571,-0.522,0.46,0.435,-0.137,-0.48,0.518,0.694,-0.127,0.156,-0.77,-0.605,-0.228,-0.363,-0.632,-0.645,-0.385,-0.125,0.62,0.672,0.656,-0.35,-0.647,0.168,0.001,0.001,0.001,0.021,0.055,0.001,0.015,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.018,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.016,0.098,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.109,0.126,0.001,0.055,0.001,0.256,0.125,0.001,0.011,0.09,0.001,0.001,0.001,0.63,-0.513,-0.306,-0.496,0.783,0.632,0.415,0.009,0.391,0.264,0.289,0.021,0.779,0.695,0.69,0.219,0.02,0.099,0.269,0.17,0.002,0.904,0.849,0.864,0.261,0.001,0.002,0.3,0.503,0.051,0.016,0.586,0.558,0.349,0.001,0.001,0.442,0.587,0.103,0.719,0.001,0.705,0.869,1.116,1.253,0.355,0.354,0.001,0.103,1.027,17.601
